titulo,fuente,etiqueta
How 'No More Souters' led to today's extreme politics,MSNBC,negativo
South Carolina botched this man’s execution. But that’s not the main problem.,MSNBC,negativo
Trump's new catchphrase? 'I don't know.',MSNBC,negativo
U.S.-China trade talks kick off amid tension over Trump’s tariff war,MSNBC,negativo
They obviously targeted me': Newark mayor describes chaotic arrest at ICE facility,MSNBC,negativo
India calls on Pakistan to commit to ceasefire as skirmishes reportedly continue,MSNBC,positivo
‘That’s a first!’: Pope Leo XIV retweets liberal senator,MSNBC,positivo
A ninth-inning ask': Why Trump wants a whole new tax bracket,MSNBC,negativo
‘Is he meeting the moment?’: Democrats question Hakeem Jeffries’ leadership against Trump,MSNBC,positivo
Ucrania acepta la negociación directa que ofrece Rusia solo si hay un alto el fuego,El País,positivo
El papa León XIV pide una “paz justa” en Ucrania y un alto el fuego en Gaza,El País,positivo
El Barcelona levanta su sexta Liga F consecutiva y décima de su historia,El País,positivo
El papa León XIV visita la tumba de Francisco en su primera salida del Vaticano tras su nombramiento,El País,positivo
Cientos de personas se concentran en Madrid a favor del proyecto europeo frente a la amenaza trumpista y autoritaria,El País,negativo
"Última hora de la guerra de Rusia y Ucrania, en directo | Turquía confirma su disponibilidad para acoger las negociaciones directas entre Rusia y Ucrania",El País,negativo
Cinco recetas para defender un periodismo en el punto de mira,El País,positivo
La artista que aprendió a dibujar cómics para entender los traumas de su familia y ha hecho historia en los Pulitzer,El País,positivo
El PP valenciano espera un gesto de Feijóo ante la debilidad de Mazón y el desafío de Camps,El País,positivo
Alto el fuego India y Pakistan,CNN,positivo
El papa salió al balcón de la Basílica de San Pedro para pronunciar su primera bendición y discurso dominical,CNN,positivo
El papa León XIV rezó en la tumba del papa Francisco,CNN,positivo
"Las posiciones ideológicas de León XIV, desde los migrantes a la comunidad LGBTQ",CNN,positivo
"Obispo de Perú dice que ""es mentira"" que el papa León XIV no ayudó a sobrevivientes de abuso sexual",CNN,positivo
El papa señala que seguirá los pasos de Francisco y que la IA es un desafío para la humanidad,CNN,positivo
La tregua entre India y Pakistán parece mantenerse pese a las acusaciones de violaciones,CNN,positivo
Qué sabemos sobre el alto el fuego entre India y Pakistán,CNN,positivo
Países europeos vecinos de Rusia están levantando prohibición de minas terrestres. Activistas estan horrorizados,CNN,negativo
Crece el número de víctimas de trata y explotación laboral en España: el 50 % proviene de Latinoamérica,CNN,negativo
"""Las armas nucleares hacen más probables enfrentamientos limitados"", dice experto sobre tensiones entre India y Pakistán",CNN,negativo
¿Cómo obtuvieron India y Pakistán sus armas nucleares y por qué son clave en esta crisis?,CNN,negativo
Llamado a alto el fuego en Ucrania busca obligar a Putin a revelar sus objetivos bélicos a Trump,CNN,positivo
"Putin dice estar listo para ""conversaciones"" con Ucrania, pero Zelensky dice que debe acordar alto el fuego",CNN,positivo
Ucranianos que huyeron de la guerra temen ser desarraigados por Trump,CNN,negativo
"Colombia otorga asilo político a Ricardo Martinelli, expresidente de Panamá",CNN,positivo
Detienen a más de 100 personas en carreteras de Tennessee como apoyo al plan de deportaciones de Trump,CNN,negativo
"¿Qué es el habeas corpus, el procedimiento legal que Trump está considerando suspender?",CNN,positivo
"Trump afirma que se lograron ""grandes avances"" entre EE.UU. y China tras conversaciones comerciales",CNN,positivo
¿Cuándo se celebra el Día de las Madres en EE.UU. en 2025 y por qué?,CNN,positivo
Cientos de “madres buscadoras” salen a exigir justicia este 10 de mayo,CNN,negativo
Cinco pescadores que sobrevivieron 55 días a la deriva llegan a Galápagos,CNN,positivo
Cecily Strong y Colin Jost hacen cameos sorpresa en el segmento de apertura de 'SNL',CNN,positivo
"Departamento de Seguridad Nacional acusa a legisladores de ""irrumpir"" en instalación de ICE en Newark",CNN,negativo
Por qué India y Pakistán hacen declaraciones distintas sobre el papel de EE.UU. en el alto el fuego,CNN,negativo
"EE.UU. ""no es genuino"" en las conversaciones sobre el programa nuclear de Teherán, dice funcionario iraní",CNN,negativo
China invirtió millones en tecnología militar. Conflicto entre India y Pakistán podría ser su primera prueba,CNN,negativo
"El clásico FC Barcelona vs. Real Madrid: alineaciones posibles, a qué hora, cuándo y cómo ver por TV e Internet",CNN,positivo
“10 mayo no es de fiesta”: madres de personas desaparecidas protestan en Ciudad de México,CNN,negativo
Ningún barco de China se dirige a los puertos de California,CNN,negativo
Una nave espacial soviética probablemente se estrelló contra la Tierra durante la noche,CNN,positivo
"Daniel Suárez, de una familia mexicana sin automóvil propio a la NASCAR",CNN,positivo
Los líderes europeos dan un ultimátum a Rusia: alto el fuego de 30 días ahora o sanciones generalizadas,CNN,negativo
"Trump está considerando la suspensión del habeas corpus, dicen fuentes",CNN,negativo
Una fotógrafa siguió a mamás inmigrantes. Encontró algo inesperado,CNN,positivo
Crónica desde las ruinas: una reportera en el colapso de Jet Set en República Dominicana,CNN,negativo
Víctima de tiroteo “interpela” a su asesino vía inteligencia artificial,CNN,negativo
"""Sé que puedo confiar cada uno de vosotros"": León XIV pronuncia la homilía de su primera misa como papa",CNN,positivo
"Bill Gates donará ""prácticamente toda"" su fortuna en los próximos 20 años",CNN,positivo
"Como cardenal, Robert Prevost cuestionó declaraciones de J. D. Vance",CNN,negativo
Shakira celebra 20 años de “Hips Don’t Lie” con una presentación especial junto a Wyclef Jean,CNN,positivo
"""Nadie responde"": audio revela confusión en el cielo tras el apagón del aeropuerto de Newark",CNN,negativo
"Karol G cuenta que fue víctima de acoso sexual, en su nuevo documental en Netflix",CNN,negativo
¿Qué se puede esperar de las conversaciones entre China y EE.UU. por los aranceles?,CNN,negativo
Fiscal clave en el caso de documentos clasificados de Trump testificará ante el Comité Judicial de la Cámara,CNN,negativo
Los aranceles podrían quitarle el encanto a las flores del Día de la Madre,CNN,negativo
Los republicanos de la Cámara de Representantes impulsan recortes a las pensiones,CNN,negativo
Se registra un sismo en Tennessee que se sintió a través del sureste de EE.UU.,CNN,negativo
Padre de la Diócesis de Chiclayo cuenta a CNN como es el papa León XIV,CNN,positivo
"“Sabe llegar a la gente, tiene ese don”, afirma padre que trabajó junto al papa León XIV en Perú",CNN,positivo
Fiscalía de Ecuador abre investigación tras emboscada que dejó 11 militares muertos durante operación contra minería ilegal,CNN,negativo
Sheinbaum confirma demanda a Google el cambio de nombre del Golfo de México,CNN,negativo
"Así era la vida del papa León XIV en Chiclayo, Perú",CNN,positivo
Migrantes de China deportados por EE.UU. comienzan proceso de refugio en Costa Rica,CNN,negativo
"""Nunca más la guerra”: el papa León pide la paz en Ucrania y Gaza en su primer discurso en el Vaticano",CNN,positivo
“¡Nunca más la guerra!”: el papa León pide la paz en Ucrania y Gaza en su primer discurso en el Vaticano desde su elección,CNN,positivo
“No tengan miedo”: León XIV a los jóvenes en su primer Regina Caeli,CNN,positivo
Líderes europeos se reúnen en Kyiv e instan a Putin a aceptar un cese al fuego con Ucrania,CNN,positivo
Al menos siete personas han muerto bajo custodia de ICE desde que comenzó la ofensiva migratoria de Trump,CNN,negativo
"El papa León XIV probablemente ve las políticas de inmigración de EE.UU. yendo en la “dirección equivocada”, dice su hermano",CNN,negativo
Corte de apelaciones pausa orden que exige al Gobierno de Trump facilitar regreso de solicitante de asilo deportado,CNN,negativo
"Gobierno de Trump pide a la Corte Suprema que le permita poner fin al 'parole' para cubanos, venezolanos y haitianos",CNN,negativo
Juez federal investiga si Trump tiene el poder de traer de vuelta a migrantes deportados a El Salvador,CNN,negativo
Juez federal afirma que vuelo de deportación a Libia podría violar una orden judicial previa,CNN,negativo
"La milpa maya, un sistema milenario de producción de alimentos, es hoy ejemplo a nivel mundial. Esta es la razón",CNN,negativo
"Restauración de los Everglades, el plan ecológico más grande del mundo",CNN,negativo
"Tres en uno: el revolucionario plan de Fortaleza que promueve el reciclaje, la movilidad eléctrica y la inclusión",CNN,negativo
El regreso de las ballenas jorobadas,CNN,positivo
Con oído absoluto y sin vista: la historia del hombre que preserva el patrimonio sonoro de la naturaleza,CNN,negativo
"Juan Pablo Culasso, el hombre que observa la naturaleza con sus oídos",CNN,positivo
"Trump dice que el arancel a China debe ser del 80 %, pero que lo dejará en manos de su secretario del Tesoro",CNN,negativo
"Trump anunciará un ""gran acuerdo comercial"" con el Reino Unido este jueves",CNN,positivo
Trump afirma que no reducirá el arancel del 145 % para que China se siente a la mesa de negociaciones,CNN,negativo
"Sheinbaum dice que su Gobierno defenderá el T-MEC, Trump afirma que ""será renegociado""",CNN,negativo
Una nave espacial de la era soviética que no logró llegar a Venus se estrellará contra la Tierra esta semana,CNN,negativo
"Un grupo de científicos explora la anatomía de un ""volcán zombi"" que muestra signos de actividad en Bolivia",CNN,negativo
Skype de Microsoft dejará de funcionar a partir de este lunes,CNN,negativo
Científicos dicen que encontraron otra fuente de oro en el cosmos,CNN,positivo
La lluvia de meteoros Eta Acuáridas está a punto de alcanzar su punto máximo. Aquí te decimos cuándo y cómo verla,CNN,positivo
Gobierno de Trump pone fin a base de datos sobre clima extremo que ha registrado el costo de desastres naturales desde 1980,CNN,negativo
¿Se adelantará la temporada de huracanes este año? Las tendencias recientes sugieren que sí,CNN,negativo
El volcán Kilauea de Hawai entra en erupción con un patrón poco habitual en casi 40 años,CNN,negativo
El Servicio Meteorológico Nacional reanudará la traducción de sus productos para personas que no hablan inglés,CNN,positivo
La intuición materna podría ser real y esta sería su explicación científica,CNN,positivo
"La antigüedad de los autos, un factor de riesgo para conductores adolescentes",CNN,negativo
Solo el 25% de las mujeres en EE.UU. recibe atención a la salud mental en el periodo perinatal,CNN,negativo
Las esporas microscópicas de un hongo son la nueva amenaza de supermicrobio en el mundo… y será aún más difícil de superar,CNN,negativo
"Los ftalatos están vinculados a enfermedades cardíacas, ¿cómo evitar la exposición a estos químicos?",CNN,negativo
¿Qué nos dice la estrategia de negociación de Trump con China?,CNN,negativo
"Se cerró un ""acuerdo"" comercial, faltan 199",CNN,positivo
Eugenio Derbez opina sobre el anuncio de Trump de imponer aranceles a películas producidas fuera de EE.UU.,CNN,negativo
"Trump, los aranceles y el futuro del cine global: la tensión de Hollywood llega al Festival de Cannes",CNN,negativo
Trump: No hay posibilidad de reducir aranceles a China,CNN,negativo
Dos extraños se conocieron en un tren. Luego decidieron viajar juntos por el mundo,CNN,positivo
Piloto de CNN suelta el mando para que un avión aterrice por sí mismo,CNN,positivo
"Tuvieron un romance adolescente de verano. 26 años después, se reencontraron",CNN,positivo
Un aeropuerto en Japón renueva su imagen con Hello Kitty para la Expo Mundial 2025,CNN,positivo
Este hombre intenta desesperadamente salvar transatlánticos olvidados,CNN,positivo
SMTOWN LIVE sorprende a sus fans en México al celebrarse por primera vez,CNN,positivo
Andy Serkis regresará a “Gollum” a la pantalla grande,CNN,positivo
Piers Morgan y más celebridades reaccionan al nombramiento del papa León XIV,CNN,positivo
"Manuel Carrasco pierde la cuenta de sus discos mientras presenta ""Pueblo Salvaje II""",CNN,positivo
La primera novela de Stephen King será llevada al cine,CNN,positivo
“Priorizamos la seguridad al dinero”: algunas ciudades han cancelando eventos culturales por temor a redadas y deportaciones,CNN,negativo
"Regla 80/20, la teoría misógina de ""Adolescence"": qué sabemos en realidad sobre los vínculos entre hombres y mujeres",CNN,negativo
"""Literatura y valentía"": el legado de Mario Vargas Llosa, según Andrés Oppenheimer",CNN,positivo
Vargas Llosa y su compromiso con la libertad. Un repaso por cuatro de sus novelas más importantes,CNN,positivo
35 obras del siglo XX que Mario Vargas Llosa recomendaba leer,CNN,positivo
Dollar gains on Greenspan speech,BBC,positivo
Yukos unit buyer faces loan claim,BBC,negativo
High fuel prices hit BA's profits,BBC,negativo
Pernod takeover talk lifts Domecq,BBC,negativo
Japan narrowly escapes recession,BBC,positivo
Jobs growth still slow in the US,BBC,negativo
India calls for fair trade rules,BBC,positivo
Ethiopia's crop production up 24%,BBC,positivo
Court rejects $280bn tobacco case,BBC,negativo
Ask Jeeves tips online ad revival,BBC,negativo
Indonesians face fuel price rise,BBC,negativo
Peugeot deal boosts Mitsubishi,BBC,positivo
Telegraph newspapers axe 90 jobs,BBC,negativo
Air passengers win new EU rights,BBC,positivo
China keeps tight rein on credit,BBC,negativo
Parmalat boasts doubled profits,BBC,positivo
India's rupee hits five-year high,BBC,positivo
India widens access to telecoms,BBC,positivo
Call centre users 'lose patience',BBC,negativo
Rank 'set to sell off film unit',BBC,positivo
Sluggish economy hits German jobs,BBC,negativo
Mixed signals from French economy,BBC,negativo
US trade gap hits record in 2004,BBC,negativo
Yukos loses US bankruptcy battle,BBC,negativo
Safety alert as GM recalls cars,BBC,negativo
"Steel firm 'to cut' 45,000 jobs",BBC,negativo
Strong demand triggers oil rally,BBC,negativo
UK firm faces Venezuelan land row,BBC,negativo
Soaring oil 'hits world economy',BBC,negativo
Irish markets reach all-time high,BBC,positivo
Japanese banking battle at an end,BBC,positivo
Rich grab half Colombia poor fund,BBC,negativo
"Rover deal 'may cost 2,000 jobs'",BBC,negativo
Ad firm WPP's profits surge 15%,BBC,positivo
US gives foreign firms extra time,BBC,positivo
Japanese mogul arrested for fraud,BBC,negativo
Deutsche Telekom sees mobile gain,BBC,negativo
Chinese wine tempts Italy's Illva,BBC,negativo
Umbro profits lifted by Euro 2004,BBC,negativo
Fed chief warning on US deficit,BBC,negativo
UK Coal plunges into deeper loss,BBC,negativo
Saudi ministry to employ women,BBC,positivo
Japan economy slides to recession,BBC,negativo
US crude prices surge above $53,BBC,negativo
Industrial output falls in Japan,BBC,negativo
Ryanair in $4bn Boeing plane deal,BBC,negativo
Parmalat to return to stockmarket,BBC,positivo
BMW cash to fuel Mini production,BBC,positivo
Bad weather hits Nestle sales,BBC,negativo
Weak dollar hits Reuters,BBC,positivo
Hyundai to build new India plant,BBC,positivo
SA unveils 'more for all' budget,BBC,positivo
BMW drives record sales in Asia,BBC,positivo
Economy 'stronger than forecast',BBC,positivo
Electrolux to export Europe jobs,BBC,positivo
Insurance bosses plead guilty,BBC,positivo
Further rise in UK jobless total,BBC,negativo
Wembley firm won't make a profit,BBC,negativo
Cars pull down US retail figures,BBC,negativo
Lufthansa may sue over Bush visit,BBC,negativo
EU aiming to fuel development aid,BBC,positivo
German business confidence slides,BBC,negativo
FAO warns on impact of subsidies,BBC,negativo
India seeks to boost construction,BBC,positivo
Boeing unveils new 777 aircraft,BBC,positivo
Circuit City gets takeover offer,BBC,negativo
Japan turns to beer alternatives,BBC,positivo
S Korean consumers spending again,BBC,positivo
German growth goes into reverse,BBC,negativo
Turkey-Iran mobile deal 'at risk',BBC,negativo
Palestinian economy in decline,BBC,negativo
